FIPStxt,State,Area_Name,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,BIRTHS_2023,CENSUS_2020_POP,DEATHS_2020,DEATHS_2021,DEATHS_2022,DEATHS_2023,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,DOMESTIC_MIG_2023,ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,GQ_ESTIMATES_2023,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,INTERNATIONAL_MIG_2023,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,NATURAL_CHG_2023,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,NET_MIG_2023,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,N_POP_CHG_2023,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,POP_ESTIMATE_2023,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,RESIDUAL_2023,R_BIRTH_2021,R_BIRTH_2022,R_BIRTH_2023,R_DEATH_2021,R_DEATH_2022,R_DEATH_2023,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_NATURAL_CHG_2023,R_NET_MIG_2021,R_NET_MIG_2022,R_NET_MIG_2023,"Bachelor's degree or higher, 2019-23","High school graduate (or equivalency), 2019-23","Less than high school graduate, 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23","Some college or associate degree, 2019-23"
0,US,United States,894123,3584459,3679254,3653356,331449281,852024,3438423,3456087,3148861,0,0,0,0,331464948,0,0,0,0,0,19886,376008,999267,1138989,42099,146036,223167,504495,19886,376008,999267,1138989,61985,522044,1222434,1643484,331526933,332048977,333271411,334914895,0,0,0,0,10,11,10,10,10,9,0,0,0,1,3,3,0,0,1,1,3,3,79954302,59836489,24230217,28,26,10,35,64413653
1000,AL,Alabama,13867,57184,58106,58251,5024279,15165,69135,67208,59813,9615,27715,28464,30744,5024294,131372,134653,141654,144014,127914,125,1806,4374,5384,-1298,-11951,-9102,-1562,9740,29521,32838,36128,7570,18516,23523,34565,5031864,5050380,5073903,5108468,-872,946,-213,-1,11,11,11,13,13,11,5,5,6,0,0,1,-2,-1,0,5,6,7,957081,1046374,409381,30,30,11,27,1035466
2000,AK,Alaska,2406,9453,9356,9266,733391,1171,5330,6340,5581,-1663,-2948,-7202,-5543,733374,30262,30654,29833,29815,30285,63,873,2356,2004,1235,4123,3016,3685,-1600,-2075,-4846,-3539,-410,1959,-1647,130,732964,734923,733276,733406,-45,-89,183,-16,12,12,12,7,8,7,-4,-9,-7,1,3,2,5,4,5,-2,-6,-4,152432,141206,31854,33,28,6,31,162411
4000,AZ,Arizona,18110,75693,79137,78494,7151502,18025,80276,79807,70792,29980,82290,69798,36179,7157902,165653,150826,161194,162728,166668,253,8010,22296,21635,85,-4583,-670,7702,30233,90300,92094,57814,28781,85804,93197,65660,7186683,7272487,7365684,7431344,-1537,87,1773,144,10,10,10,11,10,9,11,9,4,1,3,2,0,0,1,12,12,7,1627462,1171693,544528,33,23,10,32,1646950
5000,AR,Arkansas,8509,34927,36298,35566,3011524,8475,40180,40362,36473,2537,17806,18841,18106,3011490,82455,82617,84268,85120,82490,94,1346,3215,4096,34,-5253,-4064,-907,2631,19152,22056,22202,2858,14095,17961,21328,3014348,3028443,3046404,3067732,193,196,-31,33,11,12,11,13,13,11,5,6,5,0,1,1,-1,-1,0,6,7,7,513221,702778,233857,29,34,11,25,593923
6000,CA,California,103133,412506,423922,414120,39538223,74587,345181,318145,302704,-67932,-458862,-332785,-338371,39538212,897669,771170,886334,891995,917958,1383,44116,126517,150982,28546,67325,105777,111416,-66549,-414746,-206268,-187389,-35012,-358140,-104444,-75423,39503200,39145060,39040616,38965193,2991,-10719,-3953,550,10,10,10,8,8,7,-11,-8,-8,1,3,3,1,2,2,-10,-5,-4,9834361,5496195,4149146,27,20,15,36,7461496
8000,CO,Colorado,15593,62137,62682,62498,5773714,11914,46481,49599,45099,7169,5404,6772,7236,5773707,124881,114634,123235,125069,126857,244,3913,10413,11931,3679,15656,13083,17399,7413,9317,17185,19167,11512,26377,29443,36571,5785219,5811596,5841039,5877610,420,1404,-825,5,10,10,10,8,8,7,0,1,1,0,1,2,2,2,3,1,2,3,1806355,811023,292446,27,20,7,44,1128710
9000,CT,Connecticut,8465,33942,35572,34957,3605944,11938,34571,34833,32842,-21420,19032,-10081,-9016,3605912,86236,98801,103248,103382,107997,410,6217,15562,15264,-3473,-629,739,2115,-21010,25249,5481,6248,-28326,26105,5015,8470,3577586,3603691,3608706,3617176,-3843,1485,-1205,107,9,9,9,9,9,9,5,-2,-2,1,4,4,0,0,0,7,1,1,1062403,647094,219549,23,25,8,41,603807
10000,DE,Delaware,2579,10174,10883,10725,989948,2959,11228,11488,10897,2195,13284,12669,10320,989946,22409,22717,23809,23737,22718,62,939,2378,2277,-380,-1054,-605,-172,2257,14223,15047,12597,1916,13019,14578,12431,991862,1004881,1019459,1031890,39,-150,136,6,10,10,10,11,11,10,13,12,10,0,2,2,-1,0,0,14,14,12,250626,206192,61144,27,29,8,35,192480
11000,DC,District of Columbia,2187,8508,8399,7627,689545,2004,5837,5572,5020,-15475,-6551,-4917,-1509,689548,21719,38289,36723,37601,40699,50,1745,4527,6969,183,2671,2827,2607,-15425,-4806,-390,5460,-18709,-1802,1912,8023,670839,669037,670949,678972,-3467,333,-525,-44,12,12,11,8,8,7,-9,-7,-2,2,6,10,4,4,3,-7,0,8,307906,70322,34651,14,14,7,63,71527
11001,DC,District of Columbia,2187,8508,8399,7627,689545,2004,5837,5572,5020,-15475,-6551,-4917,-1509,689548,21719,38289,36723,37601,40699,50,1745,4527,6969,183,2671,2827,2607,-15425,-4806,-390,5460,-18709,-1802,1912,8023,670839,669037,670949,678972,-3467,333,-525,-44,12,12,11,8,8,7,-9,-7,-2,2,6,10,4,4,3,-7,0,8,307906,70322,34651,14,14,7,63,71527
12000,FL,Florida,50294,207942,222003,223578,21538187,56383,250389,260220,231181,61782,244619,317923,194438,21538216,470385,475056,479972,480002,464639,2840,46865,121233,178432,-6089,-42447,-38217,-7603,64622,291484,439156,372870,53083,239409,414813,365205,21591299,21830708,22245521,22610726,-5450,-9628,13874,-62,9,10,10,11,11,10,11,14,8,2,5,8,-2,-1,0,13,19,16,5263931,4346402,1643437,28,27,10,33,4596529
13000,GA,Georgia,29847,121276,125599,125664,10711908,24771,109501,110380,97847,11606,35341,80599,58206,10713771,255871,234733,251794,254664,257042,730,10161,27010,30119,5076,11775,15219,27817,12336,45502,107609,88325,18619,57995,122765,116077,10732390,10790385,10913150,11029227,1207,718,-63,-65,11,11,11,10,10,8,3,7,5,0,2,2,1,1,2,4,9,8,2480907,1950698,801324,27,26,11,34,2020131
15000,HI,Hawaii,3836,15528,15746,15167,1455271,2843,12152,13375,12812,-4831,-9982,-15664,-11193,1455274,38589,40519,40072,40128,40759,119,2043,5917,4627,993,3376,2371,2355,-4712,-7939,-9747,-6566,-4093,-4436,-7346,-4261,1451181,1446745,1439399,1435138,-374,127,30,-50,10,10,10,8,9,8,-6,-10,-7,1,4,3,2,1,1,-5,-6,-4,364398,273812,72950,30,26,7,35,316191
